Year,Date ,Block,TRT,Height,Leaf,TSSM,TSSME,PredM,PredE,StethL,StethE,Aphid,Anystid
2021,05/13/21,I,1,Lower,1,2,5,0,0,0,0,0,0
2021,05/13/21,I,1,Lower,2,2,0,0,0,0,0,3,0
2021,05/13/21,I,1,Lower,3,3,9,0,0,0,0,1,0
2021,05/13/21,I,1,Lower,4,0,0,0,0,0,0,0,0
2021,05/13/21,I,1,Lower,5,0,0,0,0,0,0,0,0
2021,05/13/21,I,1,Lower,6,0,4,0,0,0,2,0,0
2021,05/13/21,I,1,Lower,7,0,0,0,0,0,1,0,0
2021,05/13/21,I,1,Lower,8,0,0,0,0,0,0,0,0
2021,05/13/21,I,1,Lower,9,0,4,0,0,0,0,3,0
2021,05/13/21,I,1,Lower,10,0,0,0,0,0,0,2,0
2021,05/13/21,I,1,Lower,11,0,0,0,0,0,0,0,0
2021,05/13/21,I,1,Lower,12,1,4,0,0,0,0,0,0
2021,05/13/21,I,1,Lower,13,0,0,0,0,0,0,1,0
2021,05/13/21,I,1,Lower,14,0,0,0,0,0,0,0,0
2021,05/13/21,I,1,Lower,15,0,0,0,0,0,0,0,0
2021,05/13/21,I,1,Lower,16,5,14,0,0,0,0,1,0
2021,05/13/21,I,1,Lower,17,1,9,0,0,0,0,0,0
2021,05/13/21,I,1,Lower,18,0,0,0,0,0,0,0,0
2021,05/13/21,I,1,Lower,19,0,0,0,0,0,0,10,0
2021,05/13/21,I,1,Lower,20,0,0,0,0,0,0,6,0
2021,05/13/21,II,1,Lower,1,1,1,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,2,3,0,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,3,0,9,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,4,1,2,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,5,1,10,0,0,0,1,0,0
2021,05/13/21,II,1,Lower,6,0,0,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,7,0,0,1,0,0,0,0,0
2021,05/13/21,II,1,Lower,8,0,0,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,9,1,1,0,0,0,0,0,0
2021,05/13/21,II,1,Lower,10,0,0,0,0,0,0,1,0
2021,05/13/21,II,1,Lower,11,0,0,0,0,0,0,1,0
