Year,Date,Rep,TRT,Shakes,LBAdult,Psyllabora,LBL,StethA,StethL,MPA,MPN,HoverFly,LWL,Spiders,Anystid,Hymenop,Diabrotica,DBANymph,Nabid,LooperL,Hemiptera,StripedThrips
2021,06/18/21,I,1,2,6,0,1,2,0,2,0,0,0,1,7,1,0,0,0,0,0,0
2021,06/18/21,I,2,4,0,2,0,1,0,1,0,0,0,2,21,0,1,0,0,0,0,0
2021,06/18/21,I,3,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
2021,06/18/21,II,1,3,3,1,6,1,0,0,0,0,0,1,27,1,0,0,0,1,0,0
2021,06/18/21,II,2,3,0,0,0,3,0,0,0,0,0,0,17,0,4,0,0,0,0,0
2021,06/18/21,II,3,3,1,0,0,0,0,2,0,0,0,1,10,0,0,0,0,0,0,0
2021,06/18/21,III,1,4,8,0,1,3,0,3,0,0,0,2,57,0,0,0,0,1,0,0
2021,06/18/21,III,2,3,0,1,0,2,0,0,0,0,0,2,23,0,0,0,0,0,0,0
2021,06/18/21,III,3,4,4,0,0,1,0,0,0,1,0,0,15,0,0,0,0,0,0,0
2021,06/18/21,IV,1,3,7,1,0,3,0,3,0,0,0,2,61,0,0,0,0,1,0,0
2021,06/18/21,IV,2,4,3,0,0,1,0,0,0,0,0,2,20,1,3,0,0,0,0,0
2021,06/18/21,IV,3,2.5,2,0,0,0,0,0,0,0,0,2,12,1,0,0,0,1,0,1
2021,06/18/21,V,1,4,8,0,2,0,0,1,0,0,0,5,46,0,0,0,0,2,0,0
2021,06/18/21,V,2,4,1,1,0,3,0,0,0,0,0,2,27,0,2,0,0,0,0,0
2021,06/18/21,V,3,4,4,0,2,0,0,1,0,0,0,2,12,3,0,0,0,0,0,0
2021,06/18/21,VI,1,4,5,1,3,2,0,3,0,0,0,5,34,1,2,0,0,0,0,0
2021,06/18/21,VI,2,4,3,0,0,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0
2021,06/18/21,VI,3,4,3,0,2,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0
2021,06/18/21,VII,1,4,9,0,7,3,0,4,0,0,0,1,27,0,0,0,0,2,0,0
2021,06/18/21,VII,2,4,1,0,0,3,0,0,0,0,0,2,24,0,2,0,0,1,0,0
2021,06/18/21,VII,3,4,2,0,0,1,0,0,0,0,0,5,1,2,0,0,0,0,0,0
2021,06/18/21,VIII,1,4,10,0,6,4,0,4,0,0,0,8,62,0,0,0,0,3,0,0
2021,06/18/21,VIII,2,4,0,0,1,1,0,0,0,0,0,4,29,2,0,0,0,0,0,0
