Year,Date,Block,Treatment,Strings,DM,_Alpha,_Beta,HSI,Dry_Yield,Alpha_Yield,Color
2021,08/26/21,I,1,20,0.251,5.1,3.8,0.263,0.1233183,0.006289233,6
2021,08/26/21,II,1,22,0.251,4.7,3.6,0.274,0.140801548,0.006617673,6
2021,08/26/21,III,1,24,0.268,5.4,3.9,0.261,0.145973219,0.007882554,7
2021,08/26/21,IV,1,22,0.26,4.4,3.3,0.261,0.156445143,0.006883586,6
2021,08/26/21,V ,1,24,0.25,6.6,4,0.263,0.152545461,0.010068,5
2021,08/26/21,VI,1,24,0.266,4.3,3.1,0.256,0.14951913,0.006429323,5
2021,08/26/21,VII,1,24,0.268,5.1,3.8,0.261,0.133827505,0.006825203,7
2021,08/26/21,VIII,1,24,0.28,4.4,3.4,0.26,0.1320024,0.005808106,6
2021,08/26/21,I,2,24,0.251,5.2,4,0.278,0.128391342,0.00667635,6
2021,08/26/21,II,2,22,0.252,4.9,3.8,0.266,0.122612944,0.006008034,5
2021,08/26/21,III,2,22,0.253,4.8,3.4,0.254,0.14002087,0.006721002,6
2021,08/26/21,IV,2,23,0.26,4.7,3.5,0.252,0.169544689,0.0079686,6
2021,08/26/21,V,2,24,0.257,5.2,3.7,0.26,0.155153079,0.00806796,6
2021,08/26/21,VI,2,24,0.258,4.6,3.4,0.256,0.14940056,0.006872426,6
2021,08/26/21,VII,2,24,0.269,4.5,3.4,0.251,0.155455956,0.006995518,6
2021,08/26/21,VIII,2,24,0.263,5.6,4,0.259,0.162801995,0.009116912,7
2021,08/26/21,I,3,20,0.234,5.7,3.9,0.257,0.102739297,0.00585614,6
2021,08/26/21,II,3,22,0.249,5,3.7,0.272,0.11309491,0.005654746,6
2021,08/26/21,III,3,24,0.261,4.9,3.6,0.267,0.161178406,0.007897742,6
2021,08/26/21,IV,3,21,0.273,7.5,4,0.246,0.165220414,0.012391531,6
2021,08/26/21,V,3,21,0.259,4.9,3.4,0.26,0.158144847,0.007749098,5
2021,08/26/21,VI,3,24,0.261,4.7,3.3,0.265,0.142459371,0.00669559,6
2021,08/26/21,VII,3,24,0.286,5.3,3.7,0.25,0.156168888,0.008276951,6
2021,08/26/21,VIII,3,24,0.271,4.9,3.5,0.252,0.144342225,0.007072769,6
2022,08/30/22,I,1,20,0.225,5.1,3.7,0.276,0.102504384,0.005227724,6
2022,08/30/22,II,1,22,0.206,5.1,3.7,0.257,0.132293153,0.006746951,6
2022,08/30/22,III,1,22,0.217,5.8,4.2,0.258,0.107164056,0.006215515,7
2022,08/30/22,IV,1,21,0.218,5.3,4,0.264,0.124820275,0.006615475,8
2022,08/30/22,V ,1,24,0.198,4.9,3.7,0.253,0.10744819,0.005264961,7
2022,08/30/22,VI,1,24,0.212,4.9,3.7,0.247,0.121417569,0.005949461,7
2022,08/30/22,VII,1,24,0.219,5.4,4,0.254,0.132403556,0.007149792,8
2022,08/30/22,VIII,1,24,0.218,5.3,3.7,0.257,0.120454347,0.00638408,8
2022,08/30/22,I,2,20,0.2,5.2,3.8,0.267,0.099513832,0.005174719,3
2022,08/30/22,II,2,18,0.217,5.2,3.8,0.254,0.115730815,0.006018002,7
2022,08/30/22,III,2,23,0.213,5.5,4,0.262,0.126222512,0.006942238,7
2022,08/30/22,IV,2,17,0.225,5.2,3.9,0.26,0.135968788,0.007070377,6
2022,08/30/22,V,2,22,0.229,5.1,3.8,0.263,0.141616137,0.007222423,6
2022,08/30/22,VI,2,24,0.219,5.4,3.9,0.265,0.13212495,0.007134747,7
2022,08/30/22,VII,2,24,0.232,5.3,3.8,0.253,0.117745897,0.006240533,8
2022,08/30/22,VIII,2,24,0.235,5.1,3.8,0.259,0.141458179,0.007214367,8
2022,08/30/22,I,3,24,0.213,5.7,4.2,0.252,0.111667052,0.006365022,6
2022,08/30/22,II,3,20,0.214,5.4,4.2,0.26,0.139370742,0.00752602,6
2022,08/30/22,III,3,24,0.207,5.5,4.3,0.27,0.108432689,0.005963798,7
2022,08/30/22,IV,3,18,0.216,5.1,4,0.264,0.144171311,0.007352737,8
2022,08/30/22,V,3,22,0.223,5,3.6,0.267,0.140279083,0.007013954,6
2022,08/30/22,VI,3,22,0.219,5.2,3.9,0.262,0.14280466,0.007425842,7
2022,08/30/22,VII,3,24,0.23,5.2,3.8,0.271,0.113221058,0.005887495,7
2022,08/30/22,VIII,3,24,0.237,5.1,3.9,0.261,0.13347159,0.006807051,7
2023,08/22/23,I,1,23,0.211,3.74,3.62,0.2965,0.11397582,0.004258137,10
2023,08/22/23,II,1,23,0.234,3.84,3.65,0.3025,0.104481008,0.004006847,10
2023,08/22/23,III,1,21,0.252,3.97,3.57,0.2915,0.093248548,0.003697305,10
2023,08/22/23,IV,1,18,0.232,3.88,3.37,0.2935,0.084415094,0.003272351,10
2023,08/22/23,V ,1,22,0.228,3.27,3.13,0.3015,0.11551777,0.003782052,10
2023,08/22/23,VI,1,24,0.224,3.71,3.74,0.3055,0.102166566,0.003786293,10
2023,08/22/23,VII,1,24,0.246,3.58,3.22,0.298,0.102943835,0.003684875,10
2023,08/22/23,VIII,1,24,0.244,3.3,3.29,0.3085,0.099298969,0.003276866,10
2023,08/22/23,I,2,20,0.226,3.62,3.53,0.296,0.110602388,0.004006019,10
2023,08/22/23,II,2,22,0.221,3.11,3.07,0.3,0.097628809,0.003031375,10
2023,08/22/23,III,2,24,0.239,3.44,3.53,0.2895,0.082297006,0.002826902,10
2023,08/22/23,IV,2,21,0.235,4.31,3.49,0.28,0.107158129,0.004617444,10
2023,08/22/23,V,2,23,0.212,3.49,3.42,0.2885,0.094421047,0.003297183,10
